Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$14.5K / $19.7K
ADA_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$107.3K / $138.5K
ALGO_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$36.3K / $41.0K
BCH_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$62.5K / $77.7K
BNB_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$40.4K / $40.4K
BONK_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$9.0K / $10.2K
BTC_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$1.24M / $1.79M
CAKE_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$19.9K / $24.7K
CFX_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$23.8K / $26.6K
DASH_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$17.6K / $23.6K
DOT_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$26.0K / $33.3K
DOGE_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$220.1K / $220.1K
ETH_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$130.8K / $162.5K
FARTCOIN_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$16.7K / $18.4K
FLOKI_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$10.3K / $14.6K
HYPE_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$2.0K / $2.0K
LINK_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$129.6K / $129.6K
LSK_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$18.5K / $22.3K
LTC_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$64.8K / $64.8K
NEAR_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.7K / $6.7K
NOS_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$982 / $1.1K
PEPE_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$25.0K / $31.9K
POL_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$37.0K / $40.8K
QDX_USDT,WARNING,00:45:51,WARNING,04:19:33,$387 / $387
RENDER_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.8K / $8.2K
Sonic_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$4.0K / $4.9K
SHIB_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$18.7K / $20.1K
SLP_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.3K / $7.0K
SOL_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$39.0K / $58.4K
STRK_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$1.2K / $1.3K
SUI_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.1K / $6.7K
TON_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.0K / $8.3K
TRX_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$534.9K / $534.9K
USDC_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$1.88M / $2.87M
WIF_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$7.5K / $8.3K
XLM_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$80.4K / $94.5K
XRP_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$138.8K / $138.8K
XYO_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$989 / $2.0K
ZKSync_USDT,CHECKED,00:45:51,CHECKED,04:19:33,$6.7K / $7.3K
USDT_CNGN,CHECKED,00:45:51,CHECKED,04:19:33,$80.70M / $80.70M
BTC_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$1906.18M / $1906.18M
USDT_NGN,WARNING,00:45:51,WARNING,04:19:33,$27.71M / $27.71M
QDX_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$896.9K / $974.6K
ETH_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$1159.26M / $1159.26M
TRX_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$800.73M / $800.73M
XRP_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$229.80M / $229.80M
DASH_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$39.78M / $39.78M
LTC_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$272.14M / $272.14M
SOL_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$271.82M / $271.82M
USDC_NGN,CHECKED,00:45:51,CHECKED,04:19:33,$5922.42M / $5922.42M
CNGN_NGN,WARNING,00:45:51,WARNING,04:19:33,$0 / $0
USDT_GHS,CHECKED,00:45:51,CHECKED,04:19:33,$730.6K / $948.5K
