Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),DEPTH
PEPE_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$19.5K / $23.7K
POL_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,WARNING,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$37.9K / $42.4K
QDX_USDT,WARNING,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,WARNING,10:20:31,WARNING,11:35:24,WARNING,13:02:21,WARNING,14:56:44,WARNING,15:23:33,WARNING,16:35:45,$1.7K / $1.8K
RENDER_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$10.6K / $12.0K
Sonic_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$4.8K / $5.1K
SHIB_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$17.4K / $19.1K
SLP_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,WARNING,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$10.6K / $11.9K
SOL_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$22.9K / $31.6K
STRK_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$651 / $684
SUI_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$4.4K / $4.8K
TON_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$46.4K / $53.0K
TRX_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$418.1K / $418.1K
USDC_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$1.89M / $2.91M
WIF_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$7.7K / $8.6K
XLM_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$24.8K / $29.6K
XRP_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,WARNING,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$122.1K / $122.1K
XYO_USDT,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$1.8K / $3.0K
ZKSync_USDT,CHECKED,00:50:56,CHECKED,04:31:08,WARNING,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$6.5K / $7.5K
USDT_CNGN,WARNING,00:50:56,WARNING,04:31:08,WARNING,06:55:30,WARNING,08:46:58,WARNING,10:20:31,WARNING,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$66.20M / $66.20M
BTC_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$1863.13M / $1863.13M
USDT_NGN,WARNING,00:50:56,CHECKED,04:31:08,WARNING,06:55:30,WARNING,08:46:58,WARNING,10:20:31,WARNING,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,WARNING,15:23:33,CHECKED,16:35:45,$1991.30M / $2134.61M
QDX_NGN,WARNING,00:50:56,WARNING,04:31:08,WARNING,06:55:30,WARNING,08:46:58,CHECKED,10:20:31,WARNING,11:35:24,WARNING,13:02:21,WARNING,14:56:44,WARNING,15:23:33,WARNING,16:35:45,$2.69M / $2.78M
ETH_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,WARNING,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$2377.02M / $2377.02M
TRX_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,WARNING,16:35:45,$177.87M / $216.93M
XRP_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$124.54M / $124.54M
DASH_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$38.16M / $38.16M
LTC_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$82.96M / $96.03M
SOL_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$147.62M / $147.62M
USDC_NGN,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$5446.23M / $5446.23M
CNGN_NGN,WARNING,00:50:56,WARNING,04:31:08,WARNING,06:55:30,WARNING,08:46:58,WARNING,10:20:31,WARNING,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,CHECKED,16:35:45,$3.63M / $4.06M
USDT_GHS,CHECKED,00:50:56,CHECKED,04:31:08,CHECKED,06:55:30,CHECKED,08:46:58,CHECKED,10:20:31,CHECKED,11:35:24,CHECKED,13:02:21,CHECKED,14:56:44,CHECKED,15:23:33,WARNING,16:35:45,$711.6K / $711.6K
