Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),DEPTH
AAVE_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,WARNING,16:46:19,WARNING,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$23.9K / $27.1K
ADA_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$101.7K / $133.4K
ALGO_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$42.3K / $47.1K
BCH_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,WARNING,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$19.0K / $24.8K
BNB_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$56.2K / $56.2K
BONK_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$9.5K / $10.4K
BTC_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$644.2K / $966.5K
CAKE_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$24.3K / $27.0K
CFX_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$28.5K / $32.5K
DASH_USDT,CHECKED,00:55:00,CHECKED,04:20:44,CHECKED,06:13:11,CHECKED,07:40:13,CHECKED,09:09:15,CHECKED,10:15:59,CHECKED,11:16:11,CHECKED,12:15:22,CHECKED,13:05:17,CHECKED,14:58:18,CHECKED,16:46:19,CHECKED,18:32:24,CHECKED,20:36:19,CHECKED,22:05:18,CHECKED,23:01:09,CHECKED,23:58:13,$31.3K / $34.9K
