Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),DEPTH
AAVE_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$28.3K / $28.3K
ADA_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$104.4K / $140.4K
ALGO_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$56.0K / $60.7K
BCH_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$46.4K / $59.9K
BNB_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$80.8K / $80.8K
BONK_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$5.6K / $7.8K
BTC_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$1.32M / $1.69M
CAKE_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,WARNING,14:37:31,CHECKED,16:02:15,$4.1K / $9.2K
CFX_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$24.5K / $25.6K
DASH_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$19.2K / $21.9K
DOT_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$35.4K / $46.3K
DOGE_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$239.7K / $239.7K
ETH_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$170.3K / $174.2K
FARTCOIN_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$32.8K / $36.1K
FLOKI_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$30.1K / $35.2K
HYPE_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$3.3K / $3.3K
LINK_USDT,CHECKED,00:03:37,CHECKED,00:58:42,CHECKED,04:26:31,CHECKED,06:13:35,CHECKED,07:37:59,CHECKED,09:05:19,CHECKED,10:08:18,CHECKED,11:03:45,CHECKED,12:03:11,CHECKED,12:53:26,CHECKED,14:37:31,CHECKED,16:02:15,$112.7K / $112.7K
