Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),DEPTH
AAVE_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$18.5K / $19.9K
ADA_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,SKIPPED,,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,WARNING,16:58:11,A3:CRITICAL|A2:HIGH,$0 / $0
ALGO_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,SKIPPED,,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$51.4K / $61.7K
BCH_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$32.9K / $41.7K
BNB_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$60.0K / $60.0K
BONK_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$8.1K / $9.2K
BTC_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$1.63M / $2.15M
CAKE_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$13.1K / $21.5K
CFX_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$26.7K / $28.6K
DASH_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$28.4K / $31.5K
DOT_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$21.2K / $29.7K
DOGE_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$117.3K / $117.3K
ETH_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$150.6K / $150.6K
FARTCOIN_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$22.1K / $23.8K
FLOKI_USDT,CHECKED,00:36:43,,CHECKED,05:40:59,,CHECKED,09:18:05,,CHECKED,09:45:17,,CHECKED,11:32:39,,CHECKED,12:19:07,,CHECKED,13:27:22,,CHECKED,14:49:36,,CHECKED,16:58:11,,$17.3K / $25.0K
HYPE_USDT,CHECKED,00:36:43,A4:MEDIUM,CHECKED,05:40:59,,CHECKED,09:18:05,A4:MEDIUM,CHECKED,09:45:17,A4:MEDIUM,CHECKED,11:32:39,A4:MEDIUM,CHECKED,12:19:07,A4:MEDIUM,CHECKED,13:27:22,A4:MEDIUM,CHECKED,14:49:36,A4:MEDIUM,CHECKED,16:58:11,A4:MEDIUM,$3.6K / $3.6K
