Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$27.0K / $30.0K
ADA_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$109.7K / $154.7K
ALGO_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$44.8K / $49.7K
BCH_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$38.7K / $54.9K
BNB_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$50.9K / $50.9K
BONK_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,A4:MEDIUM,CHECKED,12:40:10,,CHECKED,23:32:06,,$10.8K / $11.8K
BTC_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$1.34M / $1.64M
CAKE_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$19.0K / $20.9K
CFX_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,CHECKED,12:40:10,,CHECKED,23:32:06,,$26.6K / $29.3K
DASH_USDT,CHECKED,00:19:05,,CHECKED,01:15:13,,CHECKED,11:04:49,,WARNING,12:40:10,A2:HIGH,CHECKED,23:32:06,,$19.2K / $22.7K
