Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),DEPTH
AAVE_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,SKIPPED,,$15.9K / $15.9K
ADA_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,SKIPPED,,$87.3K / $133.3K
ALGO_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,SKIPPED,,$40.7K / $45.4K
BCH_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,SKIPPED,,$37.3K / $47.9K
BNB_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$55.2K / $55.2K
BONK_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$7.1K / $7.1K
BTC_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,WARNING,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$913.7K / $1.31M
CAKE_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$17.1K / $20.4K
CFX_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$16.3K / $16.3K
DASH_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$27.2K / $28.9K
DOT_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$32.7K / $54.3K
DOGE_USDT,CHECKED,10:52:30,CHECKED,11:17:22,CHECKED,11:46:01,CHECKED,12:16:01,CHECKED,13:05:23,CHECKED,15:24:51,$181.6K / $215.8K
