Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$4.7K / $9.6K
ADA_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$139.2K / $213.3K
ALGO_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$28.2K / $32.1K
BCH_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$10.8K / $28.6K
BNB_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$82.6K / $82.6K
BONK_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$10.3K / $11.0K
BTC_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$678.5K / $898.3K
CAKE_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$17.0K / $25.1K
CFX_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$30.0K / $31.4K
DASH_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$31.7K / $35.6K
DOT_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$42.6K / $62.2K
DOGE_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$565.5K / $565.5K
ETH_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$131.8K / $175.3K
FARTCOIN_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$20.7K / $22.4K
FLOKI_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$43.0K / $51.8K
HYPE_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$2.7K / $2.7K
LINK_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$96.9K / $96.9K
LSK_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$20.5K / $22.8K
LTC_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$111.3K / $111.3K
NEAR_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$10.4K / $11.4K
NOS_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$884 / $996
PEPE_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$23.2K / $25.6K
POL_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$42.6K / $54.7K
QDX_USDT,WARNING,00:54:52,WARNING,04:45:49,$1.2K / $1.2K
RENDER_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$10.4K / $11.5K
Sonic_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$7.3K / $7.7K
SHIB_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$4.3K / $5.8K
SLP_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$5.4K / $5.4K
SOL_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$47.3K / $54.6K
STRK_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$920 / $1.0K
SUI_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$6.9K / $8.0K
TON_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$27.5K / $35.5K
TRX_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$471.2K / $471.2K
USDC_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$2.31M / $3.15M
WIF_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$5.6K / $5.9K
XLM_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$62.7K / $84.7K
XRP_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$107.8K / $107.8K
XYO_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$542 / $1.1K
ZKSync_USDT,CHECKED,00:54:52,CHECKED,04:45:49,$5.0K / $5.3K
USDT_CNGN,CHECKED,00:54:52,CHECKED,04:45:49,$63.73M / $63.73M
BTC_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$3786.68M / $3786.68M
USDT_NGN,WARNING,00:54:52,WARNING,04:45:49,$1442.63M / $2322.12M
QDX_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$397.7K / $1.43M
ETH_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$1043.42M / $1043.42M
TRX_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$836.94M / $836.94M
XRP_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$264.47M / $264.47M
DASH_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$37.08M / $37.08M
LTC_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$213.50M / $213.50M
SOL_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$125.50M / $125.50M
USDC_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$1497.50M / $2233.73M
CNGN_NGN,CHECKED,00:54:52,CHECKED,04:45:49,$6.31M / $8.68M
USDT_GHS,CHECKED,00:54:52,CHECKED,04:45:49,$924.7K / $1.20M
