Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),DEPTH
AAVE_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$21.0K / $25.0K
ADA_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$93.9K / $124.3K
ALGO_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$40.0K / $47.4K
BCH_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$51.6K / $62.3K
BNB_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$46.7K / $46.7K
BONK_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$9.5K / $10.5K
BTC_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$1.30M / $1.47M
CAKE_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$20.8K / $25.2K
CFX_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$26.8K / $30.3K
DASH_USDT,CHECKED,00:00:08,CHECKED,00:57:51,CHECKED,04:52:42,CHECKED,07:10:33,CHECKED,08:51:10,CHECKED,10:12:40,CHECKED,11:07:44,CHECKED,12:06:51,CHECKED,12:56:01,CHECKED,14:40:42,CHECKED,16:04:54,CHECKED,16:58:59,CHECKED,18:04:03,CHECKED,18:59:09,CHECKED,20:14:42,CHECKED,20:59:27,CHECKED,22:01:07,CHECKED,22:58:14,$26.8K / $28.6K
