Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),DEPTH
AAVE_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$29.6K / $31.8K
ADA_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$17.8K / $29.5K
ALGO_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$59.8K / $68.1K
BCH_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$58.9K / $71.9K
BNB_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$66.1K / $66.1K
BONK_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$9.1K / $10.1K
BTC_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$648.8K / $829.3K
CAKE_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$16.6K / $24.4K
CFX_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$26.5K / $29.5K
DASH_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$15.5K / $17.5K
DOT_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$37.1K / $43.4K
DOGE_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$173.0K / $173.0K
ETH_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$135.4K / $156.9K
FARTCOIN_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$19.1K / $21.3K
FLOKI_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,WARNING,17:00:51,$3.9K / $3.9K
HYPE_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$4.0K / $4.4K
LINK_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$114.4K / $114.4K
LSK_USDT,WARNING,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$10.5K / $12.0K
LTC_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$114.5K / $114.5K
NEAR_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$5.6K / $6.1K
NOS_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$999 / $1.0K
PEPE_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$22.2K / $32.8K
POL_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$46.6K / $46.6K
QDX_USDT,WARNING,00:58:07,WARNING,04:34:34,WARNING,06:57:29,WARNING,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$450 / $558
RENDER_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$10.5K / $12.2K
Sonic_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$7.4K / $8.0K
SHIB_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$11.2K / $11.2K
SLP_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$8.3K / $9.0K
SOL_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,WARNING,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$42.7K / $55.2K
STRK_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$566 / $657
SUI_USDT,CHECKED,00:58:07,CHECKED,04:34:34,CHECKED,06:57:29,CHECKED,08:44:05,CHECKED,10:17:09,CHECKED,11:10:26,CHECKED,12:09:59,CHECKED,13:00:17,CHECKED,14:44:31,CHECKED,16:09:18,CHECKED,17:00:51,$2.9K / $3.5K
