Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),DEPTH
AAVE_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$25.6K / $27.9K
ADA_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$112.2K / $144.5K
ALGO_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,WARNING,07:44:56,A2:HIGH|A4:MEDIUM,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$28.7K / $34.9K
BCH_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$46.1K / $59.4K
BNB_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$75.4K / $75.4K
BONK_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$10.7K / $11.9K
BTC_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$1.48M / $1.95M
CAKE_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$19.7K / $21.5K
CFX_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$19.3K / $21.7K
DASH_USDT,CHECKED,00:18:41,,CHECKED,01:15:53,,CHECKED,05:11:05,,CHECKED,07:44:56,,CHECKED,09:11:50,,CHECKED,10:34:10,,CHECKED,12:23:26,,CHECKED,13:01:08,,CHECKED,15:06:04,,CHECKED,15:38:34,,CHECKED,18:01:03,A4:MEDIUM,CHECKED,18:12:55,,CHECKED,19:56:58,,CHECKED,21:29:03,,CHECKED,21:41:26,,CHECKED,23:18:59,,$27.1K / $30.0K
