Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),DEPTH
AAVE_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$23.9K / $26.5K
ADA_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$110.0K / $148.9K
ALGO_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$42.3K / $46.7K
BCH_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$19.0K / $23.7K
BNB_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$49.6K / $49.6K
BONK_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$6.1K / $7.4K
BTC_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$1.33M / $1.64M
CAKE_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$37.3K / $51.6K
CFX_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$19.9K / $21.1K
DASH_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$28.3K / $31.9K
DOT_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$29.4K / $38.1K
DOGE_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$219.0K / $219.0K
ETH_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$162.2K / $163.5K
FARTCOIN_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$34.7K / $40.4K
FLOKI_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$15.9K / $21.7K
HYPE_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$3.3K / $3.3K
LINK_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$112.5K / $140.4K
LSK_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$18.2K / $22.5K
LTC_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$112.1K / $112.1K
NEAR_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$7.5K / $7.5K
NOS_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$1.4K / $1.5K
PEPE_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$28.8K / $36.6K
POL_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$21.8K / $38.4K
QDX_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$6.8K / $6.8K
RENDER_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$11.0K / $12.5K
Sonic_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$7.5K / $8.4K
SHIB_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$19.1K / $21.3K
SLP_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$7.2K / $8.3K
SOL_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$24.5K / $28.6K
STRK_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$921 / $997
SUI_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$6.7K / $7.6K
TON_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$50.3K / $62.4K
TRX_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$696.6K / $696.6K
USDC_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$1.17M / $1.96M
WIF_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$9.4K / $10.5K
XLM_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$50.4K / $67.5K
XRP_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$113.9K / $113.9K
XYO_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$730 / $1.3K
ZKSync_USDT,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$5.7K / $6.3K
USDT_CNGN,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$65.58M / $65.58M
BTC_NGN,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$4833.46M / $4833.46M
USDT_NGN,WARNING,00:10:31,WARNING,01:05:41,CHECKED,04:52:18,$1153.18M / $2221.84M
QDX_NGN,WARNING,00:10:31,WARNING,01:05:41,WARNING,04:52:18,$357.4K / $357.4K
ETH_NGN,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$1311.43M / $1311.43M
TRX_NGN,CHECKED,00:10:31,CHECKED,01:05:41,CHECKED,04:52:18,$461.09M / $501.28M
