Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
AAVE_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$10.0K / $12.6K
ADA_USDT,WARNING,02:37:01,A3:CRITICAL|A2:HIGH,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$69.7K / $117.2K
ALGO_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$50.2K / $53.0K
BCH_USDT,CHECKED,02:37:01,,SKIPPED,,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$44.1K / $56.9K
BNB_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$81.9K / $81.9K
BONK_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,A4:MEDIUM,CHECKED,21:35:15,,$9.8K / $11.2K
BTC_USDT,SKIPPED,,,CHECKED,07:46:50,,SKIPPED,,,CHECKED,15:43:58,,CHECKED,19:13:35,A2:HIGH,CHECKED,21:35:15,,$1.27M / $1.76M
CAKE_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,A4:MEDIUM,CHECKED,21:35:15,,$9.4K / $15.2K
CFX_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$18.4K / $18.4K
DASH_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$22.1K / $22.1K
DOT_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,A2:HIGH|A4:MEDIUM,CHECKED,21:35:15,,$34.9K / $47.9K
DOGE_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$178.8K / $178.8K
ETH_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$169.5K / $175.3K
FARTCOIN_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$31.1K / $33.7K
FLOKI_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$12.6K / $19.2K
HYPE_USDT,CHECKED,02:37:01,A4:MEDIUM,CHECKED,07:46:50,A4:MEDIUM,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,A4:MEDIUM,CHECKED,21:35:15,,$5.2K / $5.3K
LINK_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$54.6K / $54.6K
LSK_USDT,CHECKED,02:37:01,,WARNING,07:46:50,A3:CRITICAL|A2:HIGH,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$13.7K / $19.2K
LTC_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$57.3K / $57.3K
NEAR_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$13.0K / $13.4K
NOS_USDT,CHECKED,02:37:01,A4:MEDIUM,CHECKED,07:46:50,A4:MEDIUM,CHECKED,12:06:53,A4:MEDIUM,CHECKED,15:43:58,A4:MEDIUM,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,A4:MEDIUM,$1.9K / $2.1K
PEPE_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$20.6K / $25.8K
POL_USDT,CHECKED,02:37:01,,SKIPPED,,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$26.8K / $31.3K
QDX_USDT,WARNING,02:37:01,A2:HIGH|A4:MEDIUM,WARNING,07:46:50,A2:HIGH|A4:MEDIUM,SKIPPED,,,WARNING,15:43:58,A2:HIGH|A4:MEDIUM,WARNING,19:13:35,A2:HIGH|A4:MEDIUM,WARNING,21:35:15,A2:HIGH|A4:MEDIUM,$149 / $279
RENDER_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$7.0K / $7.6K
Sonic_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,A4:MEDIUM,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$7.3K / $8.0K
SHIB_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$7.2K / $7.4K
