Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),DEPTH
AAVE_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$13.0K / $17.1K
ADA_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$73.1K / $124.9K
ALGO_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$27.3K / $29.8K
BCH_USDT,CHECKED,00:04:11,CHECKED,00:58:57,WARNING,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$19.4K / $31.0K
BNB_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$46.4K / $46.4K
BONK_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$9.7K / $10.6K
BTC_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$659.7K / $817.7K
CAKE_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$24.7K / $36.8K
CFX_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,CHECKED,16:47:26,CHECKED,18:35:33,$16.3K / $17.3K
DASH_USDT,CHECKED,00:04:11,CHECKED,00:58:57,CHECKED,04:37:21,CHECKED,07:01:41,CHECKED,08:51:52,CHECKED,10:40:12,CHECKED,12:18:57,CHECKED,13:08:21,CHECKED,15:09:12,WARNING,16:47:26,CHECKED,18:35:33,$20.2K / $20.2K
