Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),DEPTH
AAVE_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$22.7K / $22.7K
ADA_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$22.1K / $27.4K
ALGO_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,WARNING,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$29.2K / $32.9K
BCH_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$6.1K / $8.3K
BNB_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$64.9K / $64.9K
BONK_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$9.0K / $10.1K
BTC_USDT,CHECKED,00:50:51,WARNING,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$1.26M / $1.49M
CAKE_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$22.6K / $26.7K
CFX_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$27.5K / $31.3K
DASH_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$24.2K / $26.6K
DOT_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$39.6K / $55.5K
DOGE_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,CHECKED,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$202.8K / $202.8K
ETH_USDT,CHECKED,00:50:51,CHECKED,04:16:22,CHECKED,07:12:10,CHECKED,08:20:04,CHECKED,09:04:52,CHECKED,10:06:22,CHECKED,11:04:06,CHECKED,12:05:16,CHECKED,12:54:17,CHECKED,14:41:45,CHECKED,16:10:50,WARNING,17:04:56,CHECKED,18:07:51,CHECKED,19:00:42,CHECKED,20:09:41,CHECKED,20:55:51,CHECKED,22:01:44,CHECKED,22:56:37,CHECKED,23:53:35,$117.4K / $140.7K
