Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),DEPTH
SUI_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$4.4K / $4.9K
TON_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$54.2K / $73.0K
TRX_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$587.4K / $587.4K
USDC_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$903.8K / $1.40M
WIF_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$5.0K / $5.5K
XLM_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,WARNING,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$22.2K / $36.6K
XRP_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$120.0K / $120.0K
XYO_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$1.3K / $1.8K
ZKSync_USDT,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$5.6K / $6.5K
USDT_CNGN,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$65.58M / $65.58M
BTC_NGN,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$3062.69M / $3062.69M
USDT_NGN,WARNING,00:09:29,WARNING,01:02:43,WARNING,04:37:22,WARNING,06:58:05,WARNING,08:42:11,WARNING,09:36:58,WARNING,10:11:40,WARNING,11:09:34,WARNING,12:09:03,WARNING,12:28:29,WARNING,12:57:22,WARNING,14:42:20,WARNING,15:10:24,WARNING,16:06:00,WARNING,17:00:56,WARNING,17:59:57,WARNING,18:05:40,WARNING,19:01:02,WARNING,20:16:42,WARNING,21:00:37,WARNING,22:02:26,$333.65M / $613.28M
QDX_NGN,WARNING,00:09:29,WARNING,01:02:43,WARNING,04:37:22,WARNING,06:58:05,WARNING,08:42:11,WARNING,09:36:58,WARNING,10:11:40,WARNING,11:09:34,WARNING,12:09:03,WARNING,12:28:29,WARNING,12:57:22,WARNING,14:42:20,WARNING,15:10:24,WARNING,16:06:00,WARNING,17:00:56,WARNING,17:59:57,WARNING,18:05:40,WARNING,19:01:02,WARNING,20:16:42,WARNING,21:00:37,WARNING,22:02:26,$463.9K / $463.9K
ETH_NGN,CHECKED,00:09:29,CHECKED,01:02:43,CHECKED,04:37:22,CHECKED,06:58:05,CHECKED,08:42:11,CHECKED,09:36:58,CHECKED,10:11:40,CHECKED,11:09:34,CHECKED,12:09:03,CHECKED,12:28:29,CHECKED,12:57:22,CHECKED,14:42:20,CHECKED,15:10:24,CHECKED,16:06:00,CHECKED,17:00:56,CHECKED,17:59:57,CHECKED,18:05:40,CHECKED,19:01:02,CHECKED,20:16:42,CHECKED,21:00:37,CHECKED,22:02:26,$1270.67M / $1270.67M
