Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),DEPTH
AAVE_USDT,CHECKED,0:49:52,CHECKED,4:12:33,WARNING,5:56:12,CHECKED,7:04:07,WARNING,8:09:48,CHECKED,8:53:22,WARNING,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,WARNING,12:42:06,WARNING,14:16:46,SKIPPED,,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,WARNING,19:59:35,SKIPPED,,SKIPPED,,SKIPPED,,CHECKED,23:48:35,$8.0K / $10.4K
ADA_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,WARNING,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,WARNING,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$82.1K / $96.0K
ALGO_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$30.3K / $31.8K
BCH_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,WARNING,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,WARNING,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$43.4K / $50.0K
BNB_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$63.2K / $63.2K
BONK_USDT,CHECKED,0:49:52,WARNING,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$8.9K / $9.8K
BTC_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$1.22M / $1.64M
CAKE_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$10.8K / $19.8K
CFX_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,CHECKED,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$25.4K / $28.9K
DASH_USDT,CHECKED,0:49:52,CHECKED,4:12:33,CHECKED,5:56:12,CHECKED,7:04:07,WARNING,8:09:48,CHECKED,8:53:22,CHECKED,9:54:13,CHECKED,10:50:48,CHECKED,11:51:58,CHECKED,12:42:06,CHECKED,14:16:46,CHECKED,15:00:17,CHECKED,16:46:47,CHECKED,17:54:14,CHECKED,18:48:02,CHECKED,19:59:35,CHECKED,20:42:19,CHECKED,21:49:19,CHECKED,22:46:07,CHECKED,23:48:35,$31.8K / $34.5K
