Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),DEPTH
USDC_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$2.03M / $2.83M
WIF_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$6.9K / $7.6K
XLM_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$73.8K / $83.0K
XRP_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$125.0K / $125.0K
XYO_USDT,WARNING,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$807 / $1.4K
ZKSync_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$3.5K / $4.6K
USDT_CNGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,WARNING,10:48:01,$0 / $0
BTC_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$2052.14M / $2052.14M
USDT_NGN,WARNING,00:07:48,WARNING,00:59:32,WARNING,04:35:41,WARNING,07:03:41,WARNING,09:02:20,CHECKED,10:48:01,$2129.32M / $3354.78M
QDX_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$469.2K / $506.0K
ETH_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$1387.80M / $1387.80M
TRX_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$482.61M / $482.61M
XRP_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$241.75M / $241.75M
DASH_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$45.59M / $45.59M
LTC_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$266.03M / $266.03M
SOL_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$125.21M / $125.21M
USDC_NGN,WARNING,00:07:48,WARNING,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$5282.47M / $5282.47M
CNGN_NGN,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$6.28M / $8.65M
USDT_GHS,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$2.37M / $2.77M
