Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),DEPTH
PEPE_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$23.2K / $27.3K
POL_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$47.8K / $54.3K
QDX_USDT,WARNING,00:50:47,WARNING,04:42:02,WARNING,06:52:50,WARNING,08:21:26,WARNING,09:01:59,WARNING,10:04:01,WARNING,10:58:26,WARNING,11:58:09,WARNING,12:49:45,WARNING,14:31:44,WARNING,15:06:17,WARNING,15:57:54,WARNING,16:52:59,WARNING,17:57:42,WARNING,18:54:31,WARNING,20:05:50,WARNING,20:51:18,WARNING,21:54:04,$2.3K / $2.3K
RENDER_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$10.9K / $12.3K
Sonic_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$9.1K / $10.1K
SHIB_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$16.2K / $16.2K
SLP_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,WARNING,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$4.5K / $6.6K
SOL_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$16.5K / $27.9K
STRK_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$607 / $665
SUI_USDT,CHECKED,00:50:47,CHECKED,04:42:02,CHECKED,06:52:50,CHECKED,08:21:26,CHECKED,09:01:59,CHECKED,10:04:01,CHECKED,10:58:26,CHECKED,11:58:09,CHECKED,12:49:45,CHECKED,14:31:44,CHECKED,15:06:17,CHECKED,15:57:54,CHECKED,16:52:59,CHECKED,17:57:42,CHECKED,18:54:31,CHECKED,20:05:50,CHECKED,20:51:18,CHECKED,21:54:04,$7.6K / $8.7K
