Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),DEPTH
AAVE_USDT,WARNING,02:33:58,A3:CRITICAL|A2:HIGH,CHECKED,07:40:41,,SKIPPED,,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$22.6K / $22.6K
ADA_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$87.1K / $130.2K
ALGO_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$42.2K / $47.9K
BCH_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$19.1K / $27.3K
BNB_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,SKIPPED,,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$35.4K / $35.4K
BONK_USDT,CHECKED,02:33:58,,SKIPPED,,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,SKIPPED,,,CHECKED,21:44:26,,CHECKED,23:51:36,,$8.2K / $9.7K
BTC_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,SKIPPED,,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$1.41M / $1.82M
CAKE_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,SKIPPED,,,$11.9K / $18.1K
CFX_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$28.1K / $31.0K
DASH_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,SKIPPED,,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$18.1K / $18.1K
DOT_USDT,SKIPPED,,,CHECKED,07:40:41,,SKIPPED,,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$38.0K / $44.5K
DOGE_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$309.4K / $309.4K
ETH_USDT,CHECKED,02:33:58,,SKIPPED,,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$144.3K / $144.3K
FARTCOIN_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$26.2K / $30.1K
FLOKI_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$20.1K / $25.1K
HYPE_USDT,CHECKED,02:33:58,A4:MEDIUM,CHECKED,07:40:41,A4:MEDIUM,CHECKED,08:06:28,A4:MEDIUM,CHECKED,11:58:57,,CHECKED,15:12:03,A4:MEDIUM,CHECKED,15:21:15,A4:MEDIUM,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,A4:MEDIUM,$4.3K / $4.3K
LINK_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$51.4K / $51.4K
LSK_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$9.2K / $10.3K
LTC_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,SKIPPED,,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$47.8K / $47.8K
NEAR_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$12.9K / $12.9K
NOS_USDT,CHECKED,02:33:58,A4:MEDIUM,SKIPPED,,,CHECKED,08:06:28,A4:MEDIUM,CHECKED,11:58:57,A4:MEDIUM,CHECKED,15:12:03,A4:MEDIUM,CHECKED,15:21:15,A4:MEDIUM,CHECKED,18:50:30,A4:MEDIUM,CHECKED,21:44:26,A4:MEDIUM,CHECKED,23:51:36,A4:MEDIUM,$553 / $586
PEPE_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$25.9K / $25.9K
POL_USDT,SKIPPED,,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$21.5K / $22.8K
QDX_USDT,SKIPPED,,,WARNING,07:40:41,A2:HIGH|A4:MEDIUM,WARNING,08:06:28,A2:HIGH|A4:MEDIUM,WARNING,11:58:57,A2:HIGH|A4:MEDIUM,WARNING,15:12:03,A2:HIGH|A4:MEDIUM,WARNING,15:21:15,A2:HIGH|A4:MEDIUM,WARNING,18:50:30,A2:HIGH|A4:MEDIUM,WARNING,21:44:26,A2:HIGH|A4:MEDIUM,SKIPPED,,,$325 / $325
RENDER_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,SKIPPED,,,$13.5K / $14.8K
Sonic_USDT,CHECKED,02:33:58,,CHECKED,07:40:41,,CHECKED,08:06:28,A4:MEDIUM,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,A4:MEDIUM,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$7.3K / $8.3K
SHIB_USDT,CHECKED,02:33:58,,SKIPPED,,,CHECKED,08:06:28,,CHECKED,11:58:57,,CHECKED,15:12:03,,CHECKED,15:21:15,,CHECKED,18:50:30,,CHECKED,21:44:26,,CHECKED,23:51:36,,$17.6K / $18.9K
