Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),DEPTH
AAVE_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,SKIPPED,,,CHECKED,17:43:14,,$14.7K / $23.5K
ADA_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,SKIPPED,,,CHECKED,16:03:47,,CHECKED,17:43:14,,$106.7K / $144.0K
ALGO_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,SKIPPED,,,CHECKED,16:03:47,,CHECKED,17:43:14,,$62.8K / $69.1K
BCH_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$29.0K / $38.6K
BNB_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$51.1K / $51.1K
BONK_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,SKIPPED,,,CHECKED,16:03:47,,CHECKED,17:43:14,,$8.4K / $9.2K
BTC_USDT,CHECKED,00:38:18,,SKIPPED,,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$1.33M / $1.54M
CAKE_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,SKIPPED,,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$16.4K / $25.5K
CFX_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,SKIPPED,,,SKIPPED,,,CHECKED,16:03:47,,CHECKED,17:43:14,,$24.3K / $26.5K
DASH_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,SKIPPED,,,CHECKED,17:43:14,,$24.4K / $29.9K
DOT_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$37.7K / $57.7K
DOGE_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$190.1K / $195.9K
ETH_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,SKIPPED,,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$131.3K / $131.3K
FARTCOIN_USDT,WARNING,00:38:18,A2:HIGH|A4:MEDIUM,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$27.6K / $30.8K
FLOKI_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$17.2K / $23.6K
HYPE_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,SKIPPED,,,CHECKED,13:59:10,A4:MEDIUM,CHECKED,16:03:47,,CHECKED,17:43:14,,$8.8K / $9.7K
LINK_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$152.2K / $189.7K
LSK_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,SKIPPED,,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$18.4K / $19.9K
LTC_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$73.8K / $73.8K
NEAR_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$8.9K / $9.9K
NOS_USDT,CHECKED,00:38:18,A4:MEDIUM,CHECKED,06:00:21,A4:MEDIUM,CHECKED,09:29:47,A4:MEDIUM,CHECKED,11:34:50,A4:MEDIUM,CHECKED,13:59:10,A4:MEDIUM,CHECKED,16:03:47,A4:MEDIUM,CHECKED,17:43:14,A4:MEDIUM,$2.2K / $2.4K
PEPE_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$12.7K / $14.5K
POL_USDT,SKIPPED,,,CHECKED,06:00:21,,SKIPPED,,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$12.0K / $12.0K
QDX_USDT,WARNING,00:38:18,A2:HIGH,WARNING,06:00:21,A2:HIGH,WARNING,09:29:47,A2:HIGH,WARNING,11:34:50,A2:HIGH,WARNING,13:59:10,A2:HIGH,WARNING,16:03:47,A2:HIGH,WARNING,17:43:14,A2:HIGH,$6.3K / $6.3K
RENDER_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$6.9K / $6.9K
Sonic_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,SKIPPED,,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,A4:MEDIUM,$4.0K / $4.0K
SHIB_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,A2:HIGH|A4:MEDIUM,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,CHECKED,17:43:14,,$8.5K / $10.8K
SLP_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,A4:MEDIUM,CHECKED,16:03:47,,CHECKED,17:43:14,,$8.3K / $9.7K
SOL_USDT,CHECKED,00:38:18,,CHECKED,06:00:21,,CHECKED,09:29:47,,CHECKED,11:34:50,,CHECKED,13:59:10,,CHECKED,16:03:47,,WARNING,17:43:14,A2:HIGH,$31.5K / $39.5K
STRK_USDT,CHECKED,00:38:18,A4:MEDIUM,CHECKED,06:00:21,A4:MEDIUM,CHECKED,09:29:47,A4:MEDIUM,CHECKED,11:34:50,A4:MEDIUM,CHECKED,13:59:10,A4:MEDIUM,CHECKED,16:03:47,A4:MEDIUM,CHECKED,17:43:14,A4:MEDIUM,$857 / $948
