Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),DEPTH
AAVE_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$16.5K / $16.5K
ADA_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$87.8K / $122.8K
ALGO_USDT,WARNING,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$43.0K / $47.7K
BCH_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$19.7K / $25.5K
BNB_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$81.5K / $81.5K
BONK_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$9.4K / $10.5K
BTC_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$1.50M / $1.68M
CAKE_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$15.2K / $24.2K
CFX_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,WARNING,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$23.7K / $26.3K
DASH_USDT,CHECKED,00:51:40,CHECKED,04:21:49,CHECKED,06:05:11,CHECKED,07:11:28,CHECKED,08:18:29,CHECKED,09:02:35,CHECKED,10:08:18,CHECKED,11:08:09,CHECKED,12:07:47,CHECKED,12:55:51,CHECKED,14:40:49,CHECKED,16:14:08,CHECKED,17:09:52,CHECKED,18:15:20,CHECKED,19:08:09,CHECKED,20:18:28,CHECKED,20:59:06,CHECKED,21:57:21,CHECKED,22:56:19,CHECKED,23:55:19,$29.0K / $32.2K
