Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),DEPTH
AAVE_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$25.2K / $25.2K
ADA_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$115.7K / $189.8K
ALGO_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$41.0K / $46.1K
BCH_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$13.6K / $20.3K
BNB_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$47.9K / $47.9K
BONK_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$11.5K / $13.0K
BTC_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,WARNING,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,WARNING,22:55:30,CHECKED,23:56:22,$892.3K / $1.27M
CAKE_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$15.2K / $21.4K
CFX_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$32.6K / $35.4K
DASH_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,WARNING,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$18.0K / $21.0K
DOT_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$52.6K / $71.1K
DOGE_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$204.7K / $206.3K
ETH_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$91.6K / $128.4K
FARTCOIN_USDT,CHECKED,00:53:32,CHECKED,04:23:17,CHECKED,06:11:48,CHECKED,07:18:12,CHECKED,08:31:01,CHECKED,10:05:20,CHECKED,10:59:43,CHECKED,11:59:09,SKIPPED,,CHECKED,14:33:36,CHECKED,15:58:15,CHECKED,16:54:20,CHECKED,17:59:43,CHECKED,18:55:08,CHECKED,20:07:01,CHECKED,20:52:45,CHECKED,21:56:18,CHECKED,22:55:30,CHECKED,23:56:22,$31.1K / $35.1K
