Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$8.6K / $12.5K
ADA_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$97.3K / $129.8K
ALGO_USDT,WARNING,00:41:43,A2:HIGH,CHECKED,05:46:24,,CHECKED,09:32:27,,$52.8K / $57.9K
BCH_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$38.2K / $50.4K
BNB_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$42.2K / $42.2K
BONK_USDT,SKIPPED,,,CHECKED,05:46:24,,CHECKED,09:32:27,,$9.4K / $10.6K
BTC_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$874.6K / $1.26M
CAKE_USDT,WARNING,00:41:43,A3:CRITICAL|A2:HIGH,CHECKED,05:46:24,,CHECKED,09:32:27,,$13.9K / $17.9K
CFX_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$30.4K / $34.7K
DASH_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$19.8K / $19.8K
DOT_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$23.5K / $40.1K
DOGE_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$101.9K / $105.1K
ETH_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$149.8K / $186.6K
FARTCOIN_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$32.8K / $36.5K
FLOKI_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$22.4K / $27.6K
HYPE_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,A4:MEDIUM,CHECKED,09:32:27,A4:MEDIUM,$3.1K / $3.3K
LINK_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$12.9K / $16.6K
LSK_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$17.3K / $20.5K
LTC_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$123.0K / $123.0K
NEAR_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$10.1K / $10.1K
NOS_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,A4:MEDIUM,CHECKED,09:32:27,A4:MEDIUM,$1.5K / $1.7K
PEPE_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$22.4K / $25.3K
POL_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$8.2K / $8.2K
QDX_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,A4:MEDIUM,WARNING,09:32:27,A2:HIGH,$6.5K / $6.5K
RENDER_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$11.6K / $13.1K
Sonic_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$7.7K / $8.6K
SHIB_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$12.6K / $12.6K
SLP_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$6.3K / $6.3K
SOL_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$31.8K / $42.1K
STRK_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,A4:MEDIUM,CHECKED,09:32:27,A4:MEDIUM,$855 / $910
SUI_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$5.5K / $5.6K
TON_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$56.0K / $64.8K
TRX_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$450.7K / $450.7K
USDC_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$1.90M / $2.50M
WIF_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,,CHECKED,09:32:27,A4:MEDIUM,$4.4K / $5.2K
XLM_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$55.3K / $61.2K
XRP_USDT,WARNING,00:41:43,A2:HIGH,CHECKED,05:46:24,,CHECKED,09:32:27,,$129.0K / $129.0K
XYO_USDT,CHECKED,00:41:43,A4:MEDIUM,CHECKED,05:46:24,A4:MEDIUM,CHECKED,09:32:27,A4:MEDIUM,$948 / $1.2K
ZKSync_USDT,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,A4:MEDIUM,$4.9K / $5.5K
USDT_CNGN,CHECKED,00:41:43,,WARNING,05:46:24,STALE:HIGH,CHECKED,09:32:27,,$37.20M / $37.20M
BTC_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$4353.24M / $4353.24M
USDT_NGN,CHECKED,00:41:43,A2:HIGH,CHECKED,05:46:24,A2:HIGH,CHECKED,09:32:27,A2:HIGH,$452.55M / $1075.33M
QDX_NGN,WARNING,00:41:43,A2:HIGH,WARNING,05:46:24,A2:HIGH,CHECKED,09:32:27,,$2.19M / $2.19M
ETH_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$1257.43M / $1257.43M
TRX_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$687.21M / $687.21M
XRP_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$149.43M / $149.43M
DASH_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$64.14M / $64.14M
LTC_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$132.99M / $132.99M
SOL_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$274.63M / $274.63M
USDC_NGN,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$5550.09M / $5550.09M
CNGN_NGN,CHECKED,00:41:43,,SKIPPED,,,CHECKED,09:32:27,,$7.49M / $9.29M
USDT_GHS,CHECKED,00:41:43,,CHECKED,05:46:24,,CHECKED,09:32:27,,$1.29M / $1.77M
