Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$15.6K / $23.6K
ADA_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$123.3K / $165.0K
ALGO_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$65.3K / $74.1K
BCH_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$51.3K / $61.7K
BNB_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$87.1K / $87.1K
BONK_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$10.7K / $11.7K
BTC_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$529.6K / $833.0K
CAKE_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$21.4K / $25.7K
CFX_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$18.9K / $18.9K
DASH_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$20.3K / $22.8K
DOT_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$32.0K / $43.6K
DOGE_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$177.7K / $180.5K
ETH_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$244.3K / $335.7K
FARTCOIN_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$39.2K / $43.7K
FLOKI_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$18.8K / $26.1K
HYPE_USDT,CHECKED,00:13:41,A4:MEDIUM,CHECKED,01:12:20,A4:MEDIUM,$2.5K / $2.8K
LINK_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$109.6K / $109.6K
LSK_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$19.1K / $22.3K
LTC_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$91.5K / $91.5K
NEAR_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$7.2K / $7.2K
NOS_USDT,CHECKED,00:13:41,A4:MEDIUM,CHECKED,01:12:20,A4:MEDIUM,$1.5K / $1.6K
PEPE_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$9.6K / $12.7K
POL_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$35.6K / $38.1K
QDX_USDT,WARNING,00:13:41,A2:HIGH|A4:MEDIUM,WARNING,01:12:20,A2:HIGH|A4:MEDIUM,$305 / $6.4K
RENDER_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$6.2K / $7.1K
Sonic_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$5.3K / $6.1K
SHIB_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$9.9K / $11.4K
SLP_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$9.4K / $10.1K
SOL_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$47.8K / $63.2K
STRK_USDT,CHECKED,00:13:41,A4:MEDIUM,CHECKED,01:12:20,A4:MEDIUM,$1000 / $1.1K
SUI_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$6.4K / $6.4K
TON_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$68.3K / $82.3K
TRX_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$395.4K / $395.4K
USDC_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,A2:HIGH,$5.37M / $7.17M
WIF_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$6.3K / $6.3K
XLM_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$43.4K / $66.3K
XRP_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$119.7K / $119.7K
XYO_USDT,CHECKED,00:13:41,A4:MEDIUM,CHECKED,01:12:20,A4:MEDIUM,$1.4K / $2.1K
ZKSync_USDT,CHECKED,00:13:41,,CHECKED,01:12:20,,$6.8K / $7.4K
USDT_CNGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$33.51M / $33.51M
BTC_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$2429.39M / $2429.39M
USDT_NGN,CHECKED,00:13:41,A2:HIGH,CHECKED,01:12:20,A2:HIGH,$1094.47M / $1950.99M
QDX_NGN,WARNING,00:13:41,A2:HIGH,WARNING,01:12:20,A2:HIGH,$1.69M / $1.71M
ETH_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$2580.82M / $2580.82M
TRX_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$484.72M / $484.72M
XRP_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$106.67M / $106.67M
DASH_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$68.01M / $68.01M
LTC_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$176.19M / $176.19M
SOL_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$201.14M / $201.14M
USDC_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$5080.59M / $5080.59M
CNGN_NGN,CHECKED,00:13:41,,CHECKED,01:12:20,,$6.32M / $9.00M
USDT_GHS,CHECKED,00:13:41,,CHECKED,01:12:20,,$957.2K / $1.32M
